matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
m_68,p_147,جریان بازی,سر,4.74,6.98,2,0,متوسط,45,26,برخورد به دفاع
m_203,p_105,جریان بازی,پای راست,12.97,11.72,2,0,زیاد,42,37,برخورد به دفاع
m_124,p_89,جریان بازی,پای راست,9.73,5.74,4,0,کم,12,17,مهار توسط دروازه بان
m_186,p_109,جریان بازی,پای راست,12.72,-2.0,1,0,کم,11,51,مهار توسط دروازه بان
m_140,p_143,جریان بازی,سر,7.23,4.99,1,0,کم,88,20,گُل
m_3,p_71,جریان بازی,پای راست,13.22,-7.48,2,0,کم,57,43,مهار توسط دروازه بان
m_235,p_134,جریان بازی,پای راست,18.21,14.96,2,0,کم,0,58,موقعیت از دست رفته
m_209,p_76,جریان بازی,پای چپ,12.72,-19.2,4,0,کم,63,42,برخورد به دفاع
m_231,p_34,جریان بازی,پای چپ,18.7,-1.5,3,0,کم,86,56,برخورد به دفاع
m_81,p_57,جریان بازی,پای راست,8.73,-0.75,1,0,متوسط,67,57,مهار توسط دروازه بان
m_146,p_118,جریان بازی,پای چپ,6.48,3.24,2,0,کم,54,22,موقعیت از دست رفته
m_110,p_104,جریان بازی,پای چپ,9.23,4.99,2,0,کم,36,25,گُل
m_59,p_139,جریان بازی,پای راست,12.72,4.74,3,0,متوسط,50,8,گُل
m_61,p_41,جریان بازی,پای راست,23.44,-7.23,3,0,کم,29,58,موقعیت از دست رفته
m_134,p_140,ضربه آزاد مستقیم,پای راست,27.93,2.99,8,3,کم,39,9,مهار توسط دروازه بان
m_132,p_61,جریان بازی,پای چپ,24.69,0.75,2,0,کم,18,33,مهار توسط دروازه بان
m_92,p_86,پنالتی,پای چپ,10.97,0.0,1,0,کم,58,41,گُل
m_114,p_141,جریان بازی,پای راست,8.98,13.97,3,0,زیاد,4,20,موقعیت از دست رفته
m_62,p_147,جریان بازی,سر,8.23,-5.49,2,0,کم,85,36,موقعیت از دست رفته
m_9,p_40,جریان بازی,سر,9.73,2.0,3,0,متوسط,46,47,گُل
m_144,p_82,ضربه آزاد مستقیم,پای چپ,21.95,-2.49,5,0,کم,86,30,گُل
m_96,p_20,جریان بازی,پای راست,10.72,15.96,3,1,متوسط,23,32,مهار توسط دروازه بان
m_184,p_144,جریان بازی,پای چپ,13.72,9.23,2,0,کم,15,25,مهار توسط دروازه بان
m_177,p_7,جریان بازی,پای راست,3.49,-4.74,2,0,زیاد,23,9,گُل
m_91,p_59,جریان بازی,پای چپ,9.23,-10.72,4,0,زیاد,35,26,برخورد به دفاع
m_154,p_90,جریان بازی,پای چپ,5.24,-1.75,1,0,کم,90,2,موقعیت از دست رفته
m_88,p_45,جریان بازی,سر,7.98,0.5,1,0,کم,68,39,موقعیت از دست رفته
m_143,p_91,جریان بازی,پای چپ,16.71,-11.47,3,1,زیاد,63,31,مهار توسط دروازه بان
m_148,p_112,جریان بازی,پای چپ,13.72,-1.75,3,0,متوسط,68,44,برخورد به دفاع
m_196,p_154,جریان بازی,پای راست,9.73,-7.73,1,0,متوسط,89,20,گُل
m_51,p_1,جریان بازی,سر,15.21,-1.75,2,0,زیاد,72,41,مهار توسط دروازه بان
m_62,p_78,جریان بازی,پای چپ,10.23,8.98,1,0,زیاد,44,39,مهار توسط دروازه بان
m_202,p_129,جریان بازی,سر,7.73,-8.73,3,0,متوسط,40,12,مهار توسط دروازه بان
m_216,p_134,جریان بازی,پای راست,15.96,5.24,6,0,متوسط,85,9,برخورد به دفاع
m_187,p_153,جریان بازی,پای چپ,9.73,10.47,1,0,کم,60,44,موقعیت از دست رفته
m_235,p_49,جریان بازی,سر,11.47,8.73,2,0,زیاد,16,14,برخورد به دفاع
m_240,p_100,جریان بازی,پای راست,22.44,-5.99,3,1,متوسط,23,13,موقعیت از دست رفته
m_10,p_61,جریان بازی,پای چپ,12.72,-14.96,3,0,متوسط,67,45,موقعیت از دست رفته
m_33,p_99,جریان بازی,پای راست,27.43,-13.47,2,0,متوسط,72,11,برخورد به دفاع
m_86,p_40,جریان بازی,پای راست,19.95,12.47,3,0,کم,59,45,مهار توسط دروازه بان
m_26,p_10,جریان بازی,پای چپ,4.24,11.97,2,0,متوسط,64,6,برخورد به دفاع
m_93,p_141,جریان بازی,پای راست,26.19,3.24,3,1,متوسط,56,48,مهار توسط دروازه بان
m_149,p_136,جریان بازی,پای راست,24.44,-14.71,3,0,کم,51,49,گُل
m_99,p_73,جریان بازی,پای چپ,6.24,4.99,1,0,کم,21,54,موقعیت از دست رفته
m_131,p_131,جریان بازی,پای راست,17.46,11.97,1,0,کم,78,5,مهار توسط دروازه بان
m_139,p_31,جریان بازی,پای چپ,31.67,-20.7,1,0,کم,27,6,مهار توسط دروازه بان
m_209,p_135,جریان بازی,پای چپ,26.43,6.48,4,0,زیاد,63,49,موقعیت از دست رفته
m_65,p_17,جریان بازی,سر,6.73,7.23,1,0,کم,16,42,موقعیت از دست رفته
m_25,p_144,جریان بازی,پای راست,27.93,1.5,5,1,متوسط,41,11,برخورد به دفاع
m_167,p_66,جریان بازی,پای راست,10.97,-17.96,3,1,کم,77,1,مهار توسط دروازه بان
m_224,p_61,جریان بازی,پای راست,7.98,3.49,1,0,کم,66,59,موقعیت از دست رفته
m_226,p_96,جریان بازی,پای راست,13.97,-5.49,2,0,کم,13,33,موقعیت از دست رفته
m_59,p_129,جریان بازی,سر,8.98,4.49,5,2,کم,91,2,موقعیت از دست رفته
m_238,p_21,جریان بازی,پای راست,5.74,-12.72,2,0,کم,33,57,مهار توسط دروازه بان
m_179,p_88,جریان بازی,پای راست,9.73,-4.99,3,0,متوسط,58,2,گُل
m_217,p_72,جریان بازی,پای راست,25.44,-3.24,2,0,کم,41,45,مهار توسط دروازه بان
m_86,p_9,جریان بازی,پای راست,10.23,3.49,2,0,متوسط,49,43,موقعیت از دست رفته
m_56,p_65,جریان بازی,پای راست,13.97,-6.48,1,0,کم,27,10,برخورد به تیردروازه
m_121,p_78,جریان بازی,پای چپ,11.22,5.49,2,0,متوسط,80,3,برخورد به دفاع
m_191,p_151,جریان بازی,پای راست,10.23,-7.73,1,0,زیاد,71,25,موقعیت از دست رفته
m_29,p_72,جریان بازی,سر,5.99,5.99,2,0,متوسط,27,59,گُل
m_198,p_128,ضربه آزاد مستقیم,پای راست,8.48,20.95,6,2,کم,89,45,برخورد به تیردروازه
m_107,p_103,جریان بازی,پای راست,8.23,13.47,3,0,متوسط,60,13,مهار توسط دروازه بان
m_155,p_131,جریان بازی,پای راست,15.21,-2.0,2,0,کم,34,23,مهار توسط دروازه بان
m_91,p_4,پنالتی,پای راست,10.97,0.0,1,0,کم,54,31,گُل
m_173,p_119,جریان بازی,پای چپ,11.97,9.73,4,1,متوسط,18,32,برخورد به دفاع
m_224,p_35,جریان بازی,پای چپ,7.48,-4.24,1,0,کم,48,42,گُل
m_74,p_125,جریان بازی,سر,5.49,6.73,4,0,زیاد,45,59,موقعیت از دست رفته
m_226,p_5,جریان بازی,پای راست,8.48,-5.49,1,0,کم,14,28,گُل
m_198,p_64,جریان بازی,پای راست,20.2,7.48,2,0,زیاد,74,56,موقعیت از دست رفته
m_208,p_55,جریان بازی,پای راست,22.69,2.74,4,1,متوسط,16,39,برخورد به دفاع
m_62,p_122,جریان بازی,پای راست,14.96,4.74,2,0,متوسط,17,40,مهار توسط دروازه بان
m_208,p_156,جریان بازی,پای چپ,12.47,-3.99,2,0,کم,63,17,مهار توسط دروازه بان
m_143,p_94,جریان بازی,پای چپ,21.2,-3.99,2,0,زیاد,53,36,گُل
m_237,p_86,جریان بازی,پای چپ,5.24,3.24,1,0,کم,30,40,گُل
m_67,p_90,جریان بازی,سر,13.22,-1.0,2,0,زیاد,56,43,موقعیت از دست رفته
m_92,p_21,جریان بازی,پای چپ,15.96,-10.23,1,0,کم,2,59,مهار توسط دروازه بان
m_137,p_60,جریان بازی,پای راست,19.2,9.98,1,0,متوسط,70,30,برخورد به دفاع
m_145,p_17,جریان بازی,سر,9.48,2.74,3,1,زیاد,13,10,برخورد به دفاع
m_11,p_25,جریان بازی,پای راست,10.23,-9.73,2,0,کم,19,45,برخورد به دفاع
m_124,p_155,جریان بازی,سر,6.98,-1.5,2,0,متوسط,55,22,موقعیت از دست رفته
m_80,p_38,جریان بازی,پای راست,8.98,-2.0,1,0,کم,73,6,گُل
m_145,p_58,جریان بازی,سایر,11.47,-4.24,1,0,کم,50,48,مهار توسط دروازه بان
m_200,p_148,جریان بازی,پای چپ,5.99,11.22,1,0,متوسط,61,17,موقعیت از دست رفته
m_102,p_27,جریان بازی,پای چپ,15.71,-10.23,3,0,متوسط,56,59,موقعیت از دست رفته
m_67,p_122,جریان بازی,پای راست,19.45,1.25,3,0,متوسط,67,56,مهار توسط دروازه بان
m_187,p_62,ضربه آزاد مستقیم,پای چپ,27.93,-13.97,5,2,کم,59,11,مهار توسط دروازه بان
m_133,p_124,پنالتی,پای راست,10.97,0.0,1,0,کم,85,19,گُل
m_205,p_1,جریان بازی,سایر,4.99,1.0,2,0,متوسط,35,52,برخورد به دفاع
m_57,p_58,جریان بازی,پای راست,9.23,-4.24,2,0,زیاد,24,34,برخورد به دفاع
m_156,p_70,جریان بازی,پای چپ,23.69,-4.99,3,0,زیاد,69,51,برخورد به دفاع
m_30,p_4,جریان بازی,سر,8.48,4.49,1,0,کم,57,28,موقعیت از دست رفته
m_161,p_105,جریان بازی,پای چپ,10.47,-0.75,3,0,کم,87,59,گُل
m_216,p_149,جریان بازی,پای راست,15.46,-1.5,2,1,کم,55,42,موقعیت از دست رفته
m_54,p_107,جریان بازی,پای راست,7.48,5.49,2,0,متوسط,39,32,موقعیت از دست رفته
m_98,p_97,جریان بازی,پای راست,18.45,10.72,3,0,متوسط,50,53,موقعیت از دست رفته
m_125,p_154,جریان بازی,سر,4.99,-1.5,2,0,کم,67,9,گُل
m_65,p_99,جریان بازی,سر,7.98,-2.49,3,0,متوسط,82,49,برخورد به تیردروازه
m_155,p_92,جریان بازی,پای راست,23.19,-9.48,4,1,متوسط,76,59,موقعیت از دست رفته
m_237,p_16,جریان بازی,پای راست,19.2,-0.75,3,0,متوسط,36,0,برخورد به دفاع
m_143,p_38,جریان بازی,پای راست,11.22,-5.74,2,0,متوسط,76,2,برخورد به دفاع
m_39,p_125,جریان بازی,پای راست,13.47,-11.97,2,0,متوسط,58,13,گُل
m_114,p_142,جریان بازی,سایر,6.48,-2.24,2,0,متوسط,53,28,مهار توسط دروازه بان
m_4,p_2,جریان بازی,پای راست,16.96,3.99,3,1,متوسط,83,0,مهار توسط دروازه بان
m_44,p_29,جریان بازی,پای چپ,8.48,16.71,2,0,متوسط,63,53,موقعیت از دست رفته
m_141,p_1,پنالتی,پای راست,10.97,0.0,1,0,کم,81,24,گُل
m_161,p_100,جریان بازی,سر,13.22,2.24,2,0,زیاد,45,49,موقعیت از دست رفته
m_206,p_33,پنالتی,پای راست,10.97,0.0,1,0,کم,7,48,گُل
m_195,p_46,جریان بازی,پای چپ,13.97,-10.97,2,0,کم,20,41,مهار توسط دروازه بان
m_22,p_123,جریان بازی,پای چپ,29.18,-7.48,4,0,کم,90,13,موقعیت از دست رفته
m_20,p_76,جریان بازی,پای چپ,22.94,-3.74,4,1,کم,71,15,موقعیت از دست رفته
m_69,p_159,جریان بازی,پای چپ,14.46,12.72,4,0,زیاد,40,55,برخورد به دفاع
m_131,p_67,جریان بازی,سر,2.49,11.72,2,1,کم,5,36,برخورد به دفاع
m_209,p_126,جریان بازی,پای راست,12.72,-1.75,2,0,متوسط,91,41,موقعیت از دست رفته
m_160,p_16,جریان بازی,پای راست,11.47,-10.23,2,0,زیاد,33,57,برخورد به تیردروازه
m_140,p_29,ضربه آزاد مستقیم,پای چپ,19.45,-14.71,7,2,کم,38,6,گُل
m_122,p_32,جریان بازی,پای راست,9.23,-1.5,1,0,متوسط,17,50,موقعیت از دست رفته
m_201,p_134,جریان بازی,پای راست,24.19,5.99,3,0,کم,5,6,برخورد به دفاع
m_206,p_60,جریان بازی,پای راست,9.73,-9.73,1,0,متوسط,53,14,موقعیت از دست رفته
m_112,p_67,جریان بازی,سر,2.49,0.75,1,0,متوسط,71,41,موقعیت از دست رفته
m_94,p_139,جریان بازی,پای راست,25.44,6.73,3,2,کم,65,20,موقعیت از دست رفته
m_236,p_135,جریان بازی,پای راست,20.45,-9.98,3,0,متوسط,12,7,برخورد به دفاع
m_195,p_44,جریان بازی,پای چپ,5.99,-12.22,3,0,متوسط,48,34,موقعیت از دست رفته
m_9,p_5,جریان بازی,پای راست,12.97,-16.96,2,0,متوسط,23,13,مهار توسط دروازه بان
m_156,p_85,جریان بازی,پای راست,13.72,11.22,2,0,متوسط,47,50,مهار توسط دروازه بان
m_68,p_130,جریان بازی,پای چپ,19.95,-10.72,4,0,کم,90,9,موقعیت از دست رفته
m_231,p_74,جریان بازی,پای راست,4.49,-5.74,1,0,کم,7,31,برخورد به دفاع
m_165,p_114,جریان بازی,پای راست,20.7,14.46,3,0,متوسط,64,0,برخورد به تیردروازه
m_156,p_90,جریان بازی,پای چپ,11.22,9.48,1,0,کم,10,22,مهار توسط دروازه بان
m_133,p_93,جریان بازی,پای راست,6.73,-2.0,2,0,زیاد,41,33,مهار توسط دروازه بان
m_173,p_5,جریان بازی,پای چپ,7.98,7.98,3,0,متوسط,3,35,مهار توسط دروازه بان
m_233,p_82,جریان بازی,سر,11.72,0.25,3,0,کم,63,12,موقعیت از دست رفته
m_121,p_101,جریان بازی,پای چپ,18.21,14.22,1,0,متوسط,63,9,موقعیت از دست رفته
m_235,p_40,جریان بازی,پای راست,2.0,-12.22,2,0,زیاد,14,4,برخورد به دفاع
m_182,p_48,جریان بازی,پای راست,21.95,13.47,3,0,متوسط,8,37,موقعیت از دست رفته
m_164,p_114,جریان بازی,پای چپ,20.95,-15.46,3,0,زیاد,82,7,موقعیت از دست رفته
m_205,p_132,جریان بازی,پای راست,12.22,0.25,2,0,متوسط,80,13,موقعیت از دست رفته
m_81,p_82,جریان بازی,پای چپ,14.22,9.98,2,0,زیاد,12,19,برخورد به دفاع
m_213,p_30,جریان بازی,پای چپ,26.43,-3.49,2,0,متوسط,13,30,مهار توسط دروازه بان
m_6,p_12,جریان بازی,پای راست,23.19,12.47,5,3,کم,44,26,مهار توسط دروازه بان
m_148,p_132,جریان بازی,پای چپ,26.68,-9.23,5,2,کم,51,23,موقعیت از دست رفته
m_63,p_89,جریان بازی,سر,8.73,-2.0,1,0,متوسط,24,57,موقعیت از دست رفته
m_55,p_11,جریان بازی,سایر,6.48,2.0,2,0,متوسط,61,45,برخورد به دفاع
m_89,p_27,جریان بازی,پای چپ,23.44,-9.73,3,0,متوسط,8,24,برخورد به دفاع
m_111,p_18,جریان بازی,پای چپ,28.68,16.96,3,0,متوسط,5,41,موقعیت از دست رفته
m_222,p_119,جریان بازی,پای چپ,17.96,2.74,2,0,کم,48,23,موقعیت از دست رفته
m_178,p_119,جریان بازی,پای راست,11.22,15.96,3,0,متوسط,11,10,مهار توسط دروازه بان
m_48,p_133,جریان بازی,پای راست,27.93,11.72,2,0,متوسط,12,41,موقعیت از دست رفته
m_46,p_142,جریان بازی,سر,6.73,-5.24,3,0,متوسط,56,1,مهار توسط دروازه بان
m_121,p_158,جریان بازی,پای راست,10.47,-10.72,1,0,کم,26,16,گُل
m_236,p_43,جریان بازی,سر,13.97,3.74,1,0,کم,42,32,گُل
m_51,p_42,جریان بازی,پای چپ,24.69,-1.75,4,1,کم,84,54,موقعیت از دست رفته
m_33,p_65,جریان بازی,پای راست,21.45,-2.49,2,0,زیاد,14,30,موقعیت از دست رفته
m_26,p_157,جریان بازی,سر,8.73,-4.24,2,0,زیاد,58,4,موقعیت از دست رفته
m_35,p_139,جریان بازی,پای چپ,8.48,18.45,4,1,متوسط,51,25,مهار توسط دروازه بان
m_187,p_143,جریان بازی,پای راست,8.23,-1.25,1,0,متوسط,6,36,موقعیت از دست رفته
m_201,p_135,ضربه آزاد مستقیم,پای راست,27.18,1.75,7,2,کم,19,40,برخورد به دفاع
m_146,p_109,جریان بازی,سر,11.22,3.99,2,0,متوسط,47,43,مهار توسط دروازه بان
m_89,p_60,جریان بازی,سر,12.72,0.5,2,0,زیاد,39,42,مهار توسط دروازه بان
m_136,p_33,پنالتی,پای چپ,10.97,0.0,1,0,کم,75,51,گُل
m_101,p_126,جریان بازی,پای راست,4.74,-4.24,2,0,زیاد,23,15,برخورد به دفاع
m_28,p_138,جریان بازی,پای راست,18.21,-1.5,2,1,متوسط,13,35,برخورد به دفاع
m_69,p_93,جریان بازی,پای چپ,4.49,11.47,2,0,زیاد,44,50,مهار توسط دروازه بان
m_114,p_88,جریان بازی,پای راست,8.48,-13.72,2,0,کم,43,54,موقعیت از دست رفته
m_1,p_16,جریان بازی,پای راست,6.98,-0.5,1,0,کم,32,48,گُل
m_168,p_96,جریان بازی,پای چپ,20.7,13.72,2,0,کم,64,20,موقعیت از دست رفته
m_32,p_124,جریان بازی,پای راست,0.75,-11.72,1,0,کم,89,48,موقعیت از دست رفته
m_107,p_95,جریان بازی,سر,7.48,3.99,2,0,زیاد,78,15,موقعیت از دست رفته
m_18,p_89,جریان بازی,پای راست,20.95,-14.46,2,0,کم,39,52,برخورد به دفاع
m_95,p_94,جریان بازی,پای چپ,8.48,-0.5,2,0,متوسط,15,13,مهار توسط دروازه بان
m_6,p_42,ضربه آزاد مستقیم,پای راست,27.68,-8.73,7,1,کم,33,5,موقعیت از دست رفته
m_68,p_115,جریان بازی,پای راست,10.47,-4.24,1,0,کم,42,35,گُل
m_11,p_116,جریان بازی,پای راست,19.7,-4.49,2,0,متوسط,22,35,گُل
m_36,p_18,ضربه آزاد مستقیم,پای راست,24.19,-4.49,4,1,کم,34,52,موقعیت از دست رفته
m_47,p_154,جریان بازی,پای چپ,18.95,4.74,3,2,کم,41,29,موقعیت از دست رفته
m_190,p_14,جریان بازی,پای چپ,4.24,6.48,2,0,کم,63,40,موقعیت از دست رفته
m_131,p_132,جریان بازی,پای راست,23.19,-8.23,3,0,کم,0,52,مهار توسط دروازه بان
m_214,p_158,جریان بازی,پای راست,22.94,-10.72,3,1,کم,16,56,مهار توسط دروازه بان
m_126,p_39,پنالتی,پای راست,10.97,0.0,1,0,کم,29,24,مهار توسط دروازه بان
m_52,p_48,جریان بازی,پای راست,11.72,11.47,1,0,کم,50,39,برخورد به دفاع
m_201,p_119,جریان بازی,سر,5.99,1.0,1,0,متوسط,47,6,گُل
m_198,p_64,جریان بازی,پای راست,14.22,-3.24,6,2,متوسط,17,46,برخورد به دفاع
m_208,p_145,جریان بازی,پای راست,18.21,11.97,3,1,متوسط,84,37,برخورد به دفاع
m_127,p_42,جریان بازی,پای چپ,13.97,-1.75,1,0,متوسط,55,31,مهار توسط دروازه بان
m_136,p_85,جریان بازی,پای راست,4.49,-0.75,2,0,کم,1,36,گُل
m_117,p_49,جریان بازی,پای چپ,9.73,7.48,2,0,متوسط,6,0,موقعیت از دست رفته
m_145,p_97,جریان بازی,پای چپ,21.45,-22.94,6,2,کم,69,59,موقعیت از دست رفته
m_146,p_103,جریان بازی,پای راست,1.75,-7.48,2,0,کم,82,47,مهار توسط دروازه بان
m_3,p_43,جریان بازی,پای راست,15.46,0.25,4,1,متوسط,58,42,موقعیت از دست رفته
m_178,p_21,جریان بازی,پای چپ,22.2,12.97,3,0,کم,4,24,مهار توسط دروازه بان
m_19,p_119,جریان بازی,پای چپ,23.19,4.99,3,0,متوسط,83,18,موقعیت از دست رفته
m_45,p_160,جریان بازی,پای راست,10.23,-7.73,2,0,متوسط,44,34,موقعیت از دست رفته
m_214,p_26,جریان بازی,پای چپ,12.97,-5.74,2,0,زیاد,16,18,موقعیت از دست رفته
m_39,p_138,ضربه آزاد مستقیم,پای چپ,20.95,12.97,6,1,کم,43,26,مهار توسط دروازه بان
m_236,p_157,جریان بازی,پای راست,24.44,-5.74,2,0,زیاد,50,44,موقعیت از دست رفته
m_140,p_133,جریان بازی,سر,9.23,3.49,2,0,متوسط,84,44,موقعیت از دست رفته
m_87,p_43,جریان بازی,پای راست,22.44,1.5,2,0,متوسط,21,52,موقعیت از دست رفته
m_163,p_146,جریان بازی,پای راست,15.21,17.46,2,0,متوسط,65,9,مهار توسط دروازه بان
m_222,p_29,جریان بازی,پای چپ,7.23,12.97,2,0,زیاد,79,53,برخورد به دفاع
m_12,p_144,جریان بازی,پای راست,3.99,-10.23,2,0,متوسط,66,15,مهار توسط دروازه بان
m_225,p_139,جریان بازی,پای راست,31.42,5.49,5,3,کم,12,12,موقعیت از دست رفته
m_160,p_57,جریان بازی,پای راست,14.46,-10.97,3,0,زیاد,75,39,موقعیت از دست رفته
m_61,p_92,جریان بازی,پای چپ,1.75,0.75,1,0,متوسط,65,36,مهار توسط دروازه بان
m_183,p_44,جریان بازی,پای چپ,13.47,-6.98,2,0,زیاد,29,40,برخورد به دفاع
m_16,p_136,جریان بازی,پای چپ,9.73,7.48,1,0,متوسط,77,30,مهار توسط دروازه بان
m_97,p_123,جریان بازی,پای راست,25.19,6.98,5,2,کم,58,55,موقعیت از دست رفته
m_32,p_108,جریان بازی,سر,8.48,-7.23,3,0,زیاد,10,53,موقعیت از دست رفته
m_6,p_35,جریان بازی,پای راست,9.73,-8.73,3,0,متوسط,42,33,برخورد به دفاع
m_23,p_46,جریان بازی,پای راست,21.95,-16.96,2,0,متوسط,57,55,موقعیت از دست رفته
m_78,p_139,جریان بازی,پای راست,8.23,-7.23,1,0,کم,5,1,موقعیت از دست رفته
m_14,p_50,جریان بازی,پای راست,10.97,-9.98,1,0,کم,62,42,موقعیت از دست رفته
m_226,p_139,جریان بازی,پای راست,10.23,-15.46,3,0,متوسط,19,6,موقعیت از دست رفته
m_141,p_6,جریان بازی,پای راست,10.23,-3.49,1,0,متوسط,35,43,گُل
m_79,p_97,جریان بازی,پای راست,20.45,3.99,2,0,متوسط,20,48,موقعیت از دست رفته
m_62,p_106,جریان بازی,پای راست,13.22,15.96,2,0,متوسط,89,51,برخورد به دفاع
m_157,p_150,جریان بازی,پای چپ,29.68,9.98,4,0,کم,41,7,موقعیت از دست رفته
m_230,p_51,جریان بازی,سر,7.48,-2.49,1,0,کم,47,53,موقعیت از دست رفته
m_188,p_148,جریان بازی,پای راست,21.2,11.72,2,0,کم,32,16,گُل
m_137,p_101,جریان بازی,پای راست,24.19,10.23,2,0,متوسط,12,40,مهار توسط دروازه بان
m_39,p_9,جریان بازی,پای راست,18.7,13.47,2,0,کم,86,46,موقعیت از دست رفته
m_141,p_23,جریان بازی,پای راست,21.2,10.23,3,1,کم,3,46,گُل
m_149,p_54,جریان بازی,پای چپ,20.2,-16.21,2,0,متوسط,68,23,مهار توسط دروازه بان
m_196,p_56,جریان بازی,پای راست,26.93,-5.24,2,0,متوسط,24,6,مهار توسط دروازه بان
m_70,p_116,جریان بازی,پای چپ,6.24,-3.49,3,0,متوسط,3,21,مهار توسط دروازه بان
m_159,p_149,جریان بازی,پای راست,7.98,-15.21,2,0,کم,36,21,موقعیت از دست رفته
m_220,p_85,جریان بازی,پای چپ,12.47,3.49,1,0,متوسط,63,30,مهار توسط دروازه بان
m_147,p_151,جریان بازی,پای راست,14.96,4.99,3,0,متوسط,72,57,برخورد به دفاع
m_21,p_92,جریان بازی,پای چپ,19.2,-13.47,3,0,متوسط,46,22,برخورد به دفاع
m_145,p_33,جریان بازی,پای راست,16.46,-13.72,2,0,متوسط,19,6,مهار توسط دروازه بان
m_126,p_157,جریان بازی,پای راست,21.95,-15.46,3,0,کم,19,30,مهار توسط دروازه بان
m_88,p_104,جریان بازی,پای چپ,10.47,-7.73,1,0,کم,13,13,موقعیت از دست رفته
m_143,p_152,جریان بازی,پای چپ,3.24,-2.0,0,0,متوسط,45,21,گُل
m_14,p_90,جریان بازی,پای راست,14.96,15.71,2,0,متوسط,66,23,موقعیت از دست رفته
m_30,p_102,ضربه آزاد مستقیم,پای راست,31.67,-1.25,5,1,کم,66,34,مهار توسط دروازه بان
m_106,p_44,جریان بازی,پای راست,18.7,-7.23,4,1,متوسط,83,21,گُل
m_107,p_116,جریان بازی,پای چپ,24.44,10.72,3,1,متوسط,61,17,موقعیت از دست رفته
m_91,p_67,جریان بازی,پای راست,23.69,14.96,2,1,متوسط,92,57,مهار توسط دروازه بان
m_233,p_86,جریان بازی,پای راست,17.21,-1.5,5,1,کم,72,40,موقعیت از دست رفته
m_78,p_29,جریان بازی,پای چپ,26.43,-1.0,3,0,متوسط,38,43,موقعیت از دست رفته
m_145,p_155,جریان بازی,پای راست,8.48,11.22,2,0,متوسط,72,21,برخورد به دفاع
m_217,p_131,جریان بازی,پای راست,25.44,-23.44,1,0,متوسط,34,21,موقعیت از دست رفته
m_195,p_96,جریان بازی,پای چپ,26.93,0.25,3,0,کم,76,29,مهار توسط دروازه بان
m_126,p_82,جریان بازی,پای چپ,9.23,-13.22,4,1,متوسط,2,43,موقعیت از دست رفته
m_154,p_72,جریان بازی,پای راست,12.72,-8.48,1,0,کم,68,47,موقعیت از دست رفته
m_36,p_94,جریان بازی,پای راست,15.71,16.96,3,0,زیاد,79,30,موقعیت از دست رفته
m_17,p_128,ضربه آزاد مستقیم,پای چپ,22.44,9.48,8,3,کم,28,7,برخورد به دفاع
m_131,p_87,جریان بازی,پای راست,7.48,-12.72,1,0,متوسط,47,57,موقعیت از دست رفته
m_30,p_67,جریان بازی,پای راست,23.44,14.22,3,2,کم,74,22,موقعیت از دست رفته
m_232,p_127,جریان بازی,پای چپ,21.2,-14.22,4,0,متوسط,70,40,برخورد به دفاع
