,Date,Persian_Date,Open,Low,High,Close
32,1/5/2012,1390/10/15,"15,980","15,980","15,980","15,980"
33,1/7/2012,1390/10/17,"15,970","15,970","15,970","15,970"
34,1/8/2012,1390/10/18,"16,550","16,550","16,550","16,550"
35,1/9/2012,1390/10/19,"16,900","16,900","16,900","16,900"
36,1/10/2012,1390/10/20,"16,900","16,900","16,900","16,900"
37,1/11/2012,1390/10/21,"16,920","16,920","16,920","16,920"
38,1/12/2012,1390/10/22,"16,950","16,950","16,950","16,950"
39,1/16/2012,1390/10/26,"16,900","16,900","16,900","16,900"
40,1/17/2012,1390/10/27,"17,400","17,400","17,400","17,400"
41,1/18/2012,1390/10/28,"18,200","18,200","18,200","18,200"
42,1/19/2012,1390/10/29,"18,200","18,200","18,200","18,200"
43,1/21/2012,1390/11/01,"19,000","19,000","19,000","19,000"
44,1/23/2012,1390/11/03,"21,000","21,000","21,000","21,000"
45,1/25/2012,1390/11/05,"19,000","19,000","19,000","19,000"
46,1/26/2012,1390/11/06,"17,000","17,000","17,000","17,000"
47,1/28/2012,1390/11/08,"17,700","17,700","17,700","17,700"
48,1/29/2012,1390/11/09,"18,300","18,300","18,300","18,300"
49,1/30/2012,1390/11/10,"18,300","18,300","18,300","18,300"
50,2/1/2012,1390/11/12,"18,300","18,300","18,300","18,300"
51,2/4/2012,1390/11/15,"17,750","17,750","17,750","17,750"
52,2/5/2012,1390/11/16,"18,500","18,500","18,500","18,500"
53,2/6/2012,1390/11/17,"18,800","18,800","18,800","18,800"
54,2/7/2012,1390/11/18,"18,900","18,900","18,900","18,900"
55,2/8/2012,1390/11/19,"19,200","19,200","19,200","19,200"
56,2/12/2012,1390/11/23,"19,400","19,400","19,400","19,400"
57,2/13/2012,1390/11/24,"19,000","19,000","19,000","19,000"
58,2/14/2012,1390/11/25,"19,350","19,350","19,350","19,350"
59,2/15/2012,1390/11/26,"19,500","19,500","19,500","19,500"
60,2/16/2012,1390/11/27,"19,600","19,600","19,600","19,600"
61,2/18/2012,1390/11/29,"19,400","19,400","19,400","19,400"
62,2/19/2012,1390/11/30,"19,200","19,200","19,200","19,200"
63,2/20/2012,1390/12/01,"19,400","19,400","19,400","19,400"
64,2/21/2012,1390/12/02,"19,450","19,450","19,450","19,450"
65,2/22/2012,1390/12/03,"19,350","19,350","19,350","19,350"
66,2/23/2012,1390/12/04,"19,350","19,350","19,350","19,350"
67,2/26/2012,1390/12/07,"19,300","19,300","19,300","19,300"
68,2/27/2012,1390/12/08,"18,700","18,700","18,700","18,700"
69,2/28/2012,1390/12/09,"18,500","18,500","18,500","18,500"
70,2/29/2012,1390/12/10,"19,200","19,200","19,200","19,200"
71,3/1/2012,1390/12/11,"19,250","19,250","19,250","19,250"
72,3/3/2012,1390/12/13,"19,250","19,250","19,250","19,250"
73,3/4/2012,1390/12/14,"19,000","19,000","19,000","19,000"
74,3/5/2012,1390/12/15,"19,100","19,100","19,100","19,100"
75,3/6/2012,1390/12/16,"18,950","18,950","18,950","18,950"
76,3/7/2012,1390/12/17,"18,850","18,850","18,850","18,850"
77,3/8/2012,1390/12/18,"19,000","19,000","19,000","19,000"
78,3/10/2012,1390/12/20,"18,800","18,800","18,800","18,800"
79,3/11/2012,1390/12/21,"18,700","18,700","18,700","18,700"
80,3/12/2012,1390/12/22,"18,850","18,850","18,850","18,850"
81,3/13/2012,1390/12/23,"18,800","18,800","18,800","18,800"
82,3/14/2012,1390/12/24,"18,600","18,600","18,600","18,600"
83,3/15/2012,1390/12/25,"18,500","18,500","18,500","18,500"
84,3/17/2012,1390/12/27,"19,250","19,250","19,250","19,250"
85,3/18/2012,1390/12/28,"19,150","19,150","19,150","19,150"
86,3/25/2012,1391/01/06,"18,900","18,900","18,900","18,900"
87,3/26/2012,1391/01/07,"19,000","19,000","19,000","19,000"
88,3/28/2012,1391/01/09,"19,200","19,200","19,200","19,200"
89,3/29/2012,1391/01/10,"19,200","19,200","19,200","19,200"
90,4/2/2012,1391/01/14,"19,120","19,120","19,120","19,120"
91,4/3/2012,1391/01/15,"19,000","19,000","19,000","19,000"
92,4/4/2012,1391/01/16,"18,950","18,950","18,950","18,950"
93,4/5/2012,1391/01/17,"19,000","19,000","19,000","19,000"
94,4/7/2012,1391/01/19,"19,100","19,100","19,100","19,100"
95,4/8/2012,1391/01/20,"19,010","19,010","19,010","19,010"
96,4/9/2012,1391/01/21,"19,000","19,000","19,000","19,000"
97,4/10/2012,1391/01/22,"18,650","18,650","18,650","18,650"
98,4/11/2012,1391/01/23,"18,800","18,800","18,800","18,800"
99,4/12/2012,1391/01/24,"18,840","18,840","18,840","18,840"
100,4/14/2012,1391/01/26,"18,800","18,800","18,800","18,800"
101,4/15/2012,1391/01/27,"17,300","17,300","17,300","17,300"
102,4/16/2012,1391/01/28,"17,800","17,800","17,800","17,800"
103,4/17/2012,1391/01/29,"18,000","18,000","18,000","18,000"
104,4/18/2012,1391/01/30,"18,240","18,240","18,240","18,240"
105,4/19/2012,1391/01/31,"18,180","18,180","18,180","18,180"
106,4/21/2012,1391/02/02,"18,030","18,030","18,030","18,030"
107,4/22/2012,1391/02/03,"17,950","17,950","17,950","17,950"
108,4/23/2012,1391/02/04,"17,790","17,790","17,790","17,790"
109,4/24/2012,1391/02/05,"17,580","17,580","17,580","17,580"
110,4/26/2012,1391/02/07,"17,480","17,480","17,480","17,480"
111,4/28/2012,1391/02/09,"16,650","16,650","16,650","16,650"
112,4/29/2012,1391/02/10,"17,340","17,340","17,340","17,340"
113,4/30/2012,1391/02/11,"17,250","17,250","17,250","17,250"
114,5/1/2012,1391/02/12,"17,100","17,100","17,100","17,100"
115,5/2/2012,1391/02/13,"17,090","17,090","17,090","17,090"
116,5/3/2012,1391/02/14,"17,050","17,050","17,050","17,050"
117,5/5/2012,1391/02/16,"16,780","16,780","16,780","16,780"
118,5/6/2012,1391/02/17,"16,720","16,720","16,720","16,720"
119,5/7/2012,1391/02/18,"16,640","16,640","16,640","16,640"
120,5/8/2012,1391/02/19,"16,550","16,550","16,550","16,550"
121,5/9/2012,1391/02/20,"16,500","16,500","16,500","16,500"
122,5/10/2012,1391/02/21,"16,190","16,190","16,190","16,190"
123,5/12/2012,1391/02/23,"15,890","15,890","15,890","15,890"
124,5/13/2012,1391/02/24,"15,750","15,750","15,750","15,750"
125,5/14/2012,1391/02/25,"16,250","16,250","16,250","16,250"
126,5/15/2012,1391/02/26,"16,690","16,690","16,690","16,690"
127,5/16/2012,1391/02/27,"16,380","16,380","16,380","16,380"
128,5/17/2012,1391/02/28,"16,650","16,650","16,650","16,650"
129,5/19/2012,1391/02/30,"16,850","16,850","16,850","16,850"
130,5/20/2012,1391/02/31,"16,760","16,760","16,760","16,760"
131,5/21/2012,1391/03/01,"16,850","16,850","16,850","16,850"
132,5/22/2012,1391/03/02,"16,690","16,690","16,690","16,690"
133,5/23/2012,1391/03/03,"16,710","16,710","16,710","16,710"
134,5/24/2012,1391/03/04,"17,600","17,600","17,600","17,600"
135,5/26/2012,1391/03/06,"17,670","17,670","17,670","17,670"
136,5/27/2012,1391/03/07,"17,200","17,200","17,200","17,200"
137,5/28/2012,1391/03/08,"17,300","17,300","17,300","17,300"
138,5/29/2012,1391/03/09,"17,600","17,600","17,600","17,600"
139,5/30/2012,1391/03/10,"17,680","17,680","17,680","17,680"
140,5/31/2012,1391/03/11,"17,700","17,700","17,700","17,700"
141,6/2/2012,1391/03/13,"17,770","17,770","17,770","17,770"
142,6/5/2012,1391/03/16,"17,680","17,680","17,680","17,680"
143,6/6/2012,1391/03/17,"17,700","17,700","17,700","17,700"
144,6/7/2012,1391/03/18,"17,850","17,850","17,850","17,850"
145,6/9/2012,1391/03/20,"18,250","18,250","18,250","18,250"
146,6/10/2012,1391/03/21,"18,210","18,210","18,210","18,210"
147,6/11/2012,1391/03/22,"18,150","18,150","18,150","18,150"
148,6/12/2012,1391/03/23,"17,900","17,900","17,900","17,900"
149,6/13/2012,1391/03/24,"17,600","17,600","17,600","17,600"
150,6/14/2012,1391/03/25,"17,800","17,800","17,800","17,800"
151,6/16/2012,1391/03/27,"17,850","17,850","17,850","17,850"
152,6/17/2012,1391/03/28,"18,000","18,000","18,000","18,000"
153,6/19/2012,1391/03/30,"18,100","18,100","18,100","18,100"
154,6/20/2012,1391/03/31,"18,280","18,280","18,280","18,280"
155,6/21/2012,1391/04/01,"18,300","18,300","18,300","18,300"
156,6/23/2012,1391/04/03,"18,800","18,800","18,800","18,800"
157,6/24/2012,1391/04/04,"19,050","19,050","19,050","19,050"
158,6/25/2012,1391/04/05,"18,950","18,950","18,950","18,950"
159,6/26/2012,1391/04/06,"19,200","19,200","19,200","19,200"
160,6/27/2012,1391/04/07,"19,400","19,400","19,400","19,400"
161,6/28/2012,1391/04/08,"20,150","20,150","20,150","20,150"
162,6/29/2012,1391/04/09,"20,150","20,150","20,150","20,150"
163,6/30/2012,1391/04/10,"19,800","19,520","20,000","19,940"
164,7/1/2012,1391/04/11,"19,890","19,520","19,890","19,530"
165,7/2/2012,1391/04/12,"19,460","19,280","19,560","19,430"
166,7/3/2012,1391/04/13,"19,410","19,400","19,760","19,760"
167,7/4/2012,1391/04/14,"19,800","19,610","19,830","19,680"
168,7/7/2012,1391/04/17,"19,580","19,410","19,600","19,460"
169,7/8/2012,1391/04/18,"19,390","19,040","19,390","19,100"
170,7/9/2012,1391/04/19,"19,020","18,810","19,160","19,130"
171,7/10/2012,1391/04/20,"19,200","19,200","19,460","19,360"
172,7/11/2012,1391/04/21,"19,330","19,100","19,340","19,140"
173,7/12/2012,1391/04/22,"19,170","19,150","19,240","19,220"
174,7/14/2012,1391/04/24,"19,350","19,150","19,350","19,150"
175,7/15/2012,1391/04/25,"19,130","19,010","19,130","19,020"
176,7/16/2012,1391/04/26,"18,900","18,900","19,200","19,200"
177,7/17/2012,1391/04/27,"19,280","19,090","19,280","19,090"
178,7/18/2012,1391/04/28,"19,040","19,030","19,220","19,150"
179,7/19/2012,1391/04/29,"19,140","19,080","19,140","19,100"
180,7/21/2012,1391/04/31,"19,080","19,030","19,100","19,090"
181,7/22/2012,1391/05/01,"19,070","18,980","19,080","18,990"
182,7/23/2012,1391/05/02,"18,960","18,960","19,090","19,080"
183,7/24/2012,1391/05/03,"19,100","19,100","19,230","19,210"
184,7/25/2012,1391/05/04,"19,200","19,200","19,340","19,290"
185,7/26/2012,1391/05/05,"19,350","19,350","19,600","19,570"
186,7/28/2012,1391/05/07,"19,600","19,600","19,740","19,700"
187,7/29/2012,1391/05/08,"19,650","19,420","19,650","19,470"
188,7/30/2012,1391/05/09,"19,500","19,500","19,680","19,680"
189,7/31/2012,1391/05/10,"19,710","19,630","19,710","19,710"
190,8/1/2012,1391/05/11,"19,820","19,800","20,080","20,070"
191,8/2/2012,1391/05/12,"20,080","20,080","20,250","20,190"
192,8/4/2012,1391/05/14,"20,070","20,020","20,170","20,080"
193,8/5/2012,1391/05/15,"20,040","20,040","20,480","20,440"
194,8/6/2012,1391/05/16,"20,700","20,700","21,550","21,460"
195,8/7/2012,1391/05/17,"21,800","21,570","22,100","21,980"
196,8/8/2012,1391/05/18,"21,970","20,850","21,970","20,850"
197,8/9/2012,1391/05/19,"20,700","20,570","20,950","20,950"
198,8/11/2012,1391/05/21,"20,800","20,800","21,350","21,300"
199,8/12/2012,1391/05/22,"21,390","21,370","21,520","21,480"
200,8/13/2012,1391/05/23,"21,400","21,290","21,410","21,300"
201,8/14/2012,1391/05/24,"21,290","21,210","21,310","21,210"
202,8/15/2012,1391/05/25,"21,230","21,070","21,240","21,070"
203,8/16/2012,1391/05/26,"21,110","21,060","21,260","21,260"
204,8/18/2012,1391/05/28,"21,300","21,200","21,320","21,200"
205,8/21/2012,1391/05/31,"21,210","21,180","21,290","21,290"
206,8/22/2012,1391/06/01,"21,360","21,290","21,360","21,360"
207,8/23/2012,1391/06/02,"21,420","21,420","21,690","21,630"
208,8/25/2012,1391/06/04,"21,830","21,820","22,100","21,940"
209,8/26/2012,1391/06/05,"22,000","21,650","22,000","21,730"
210,8/27/2012,1391/06/06,"21,750","21,720","21,960","21,960"
211,8/28/2012,1391/06/07,"21,930","21,930","21,940","21,940"
212,8/29/2012,1391/06/08,"21,930","21,930","21,950","21,940"
213,9/1/2012,1391/06/11,"21,850","21,770","21,850","21,800"
214,9/2/2012,1391/06/12,"21,780","21,590","21,780","21,590"
215,9/3/2012,1391/06/13,"21,500","21,330","21,730","21,730"
216,9/4/2012,1391/06/14,"21,820","21,750","21,910","21,820"
217,9/5/2012,1391/06/15,"21,820","21,810","22,190","22,180"
218,9/6/2012,1391/06/16,"22,370","22,210","22,500","22,210"
219,9/8/2012,1391/06/18,"22,500","22,500","23,020","23,020"
220,9/9/2012,1391/06/19,"23,140","23,140","24,480","24,480"
221,9/10/2012,1391/06/20,"24,900","24,900","26,300","25,600"
222,9/11/2012,1391/06/21,"25,200","24,250","25,200","24,750"
223,9/13/2012,1391/06/23,"23,900","23,820","24,000","23,910"
224,9/15/2012,1391/06/25,"23,850","23,850","24,480","24,480"
225,9/16/2012,1391/06/26,"24,350","24,320","24,550","24,470"
226,9/17/2012,1391/06/27,"24,470","24,470","25,240","24,930"
227,9/18/2012,1391/06/28,"24,700","24,300","24,820","24,360"
228,9/19/2012,1391/06/29,"24,210","23,990","24,360","24,280"
229,9/20/2012,1391/06/30,"24,340","24,340","24,410","24,380"
230,9/22/2012,1391/07/01,"24,740","24,370","24,740","24,690"
231,9/23/2012,1391/07/02,"24,660","24,510","24,780","24,760"
232,9/24/2012,1391/07/03,"24,600","24,600","25,300","25,200"
233,9/25/2012,1391/07/04,"25,310","25,310","26,530","25,480"
234,9/26/2012,1391/07/05,"26,150","26,120","26,460","26,300"
235,9/27/2012,1391/07/06,"26,760","26,760","26,900","26,900"
236,9/29/2012,1391/07/08,"27,160","27,160","28,500","28,440"
237,9/30/2012,1391/07/09,"29,600","29,410","29,800","29,800"
238,10/1/2012,1391/07/10,"29,680","29,680","34,700","34,700"
239,10/2/2012,1391/07/11,"33,300","33,300","36,100","36,100"
240,10/3/2012,1391/07/12,"35,700","30,000","36,300","34,000"
241,10/4/2012,1391/07/13,"31,000","29,600","32,000","30,000"
242,10/6/2012,1391/07/15,"29,000","28,500","31,500","30,300"
243,10/7/2012,1391/07/16,"29,800","28,500","31,200","30,000"
244,10/8/2012,1391/07/17,"30,670","30,670","33,400","33,400"
245,10/9/2012,1391/07/18,"34,000","33,000","34,500","33,000"
246,10/10/2012,1391/07/19,"32,200","31,250","33,500","33,000"
247,10/11/2012,1391/07/20,"33,000","33,000","33,450","33,250"
248,10/13/2012,1391/07/22,"33,950","33,950","33,950","33,950"
249,10/14/2012,1391/07/23,"33,700","33,500","34,200","34,000"
250,10/15/2012,1391/07/24,"34,600","34,600","35,400","35,200"
251,10/16/2012,1391/07/25,"36,000","36,000","36,000","36,000"
252,10/17/2012,1391/07/26,"33,350","33,350","33,350","33,350"
253,10/18/2012,1391/07/27,"33,350","33,350","36,000","35,300"
254,10/20/2012,1391/07/29,"36,000","36,000","36,000","36,000"
255,10/21/2012,1391/07/30,"35,500","35,000","35,500","35,400"
256,10/22/2012,1391/08/01,"36,000","36,000","36,000","36,000"
257,10/23/2012,1391/08/02,"33,000","32,700","33,000","32,700"
258,10/24/2012,1391/08/03,"34,000","34,000","34,000","34,000"
259,10/25/2012,1391/08/04,"34,000","34,000","34,000","34,000"
260,10/26/2012,1391/08/05,"34,000","34,000","34,000","34,000"
261,10/27/2012,1391/08/06,"33,400","33,400","33,400","33,400"
262,10/28/2012,1391/08/07,"32,900","32,900","32,900","32,900"
263,10/29/2012,1391/08/08,"33,400","33,400","33,400","33,400"
264,10/30/2012,1391/08/09,"33,000","33,000","33,000","33,000"
265,10/31/2012,1391/08/10,"32,900","32,900","32,900","32,900"
266,11/1/2012,1391/08/11,"32,900","32,900","32,900","32,900"
267,11/2/2012,1391/08/12,"32,900","32,900","32,900","32,900"
268,11/3/2012,1391/08/13,"32,900","32,900","32,900","32,900"
269,11/4/2012,1391/08/14,"31,000","29,500","31,000","29,500"
270,11/5/2012,1391/08/15,"29,500","29,500","29,500","29,500"
271,11/6/2012,1391/08/16,"32,000","32,000","32,000","32,000"
272,11/7/2012,1391/08/17,"31,800","31,800","31,800","31,800"
273,11/8/2012,1391/08/18,"31,800","31,800","31,800","31,800"
274,11/9/2012,1391/08/19,"31,800","31,800","31,800","31,800"
275,11/10/2012,1391/08/20,"31,000","31,000","31,000","31,000"
276,11/11/2012,1391/08/21,"30,700","30,700","30,700","30,700"
277,11/12/2012,1391/08/22,"30,500","30,500","30,500","30,500"
278,11/13/2012,1391/08/23,"30,000","30,000","30,000","30,000"
279,11/14/2012,1391/08/24,"29,800","29,800","29,800","29,800"
280,11/15/2012,1391/08/25,"29,800","29,800","29,800","29,800"
281,11/16/2012,1391/08/26,"29,800","29,800","29,800","29,800"
282,11/17/2012,1391/08/27,"29,400","29,400","29,400","29,400"
283,11/18/2012,1391/08/28,"28,500","28,500","28,500","28,500"
284,11/19/2012,1391/08/29,"28,000","28,000","28,000","28,000"
285,11/20/2012,1391/08/30,"26,500","26,500","26,500","26,500"
286,11/21/2012,1391/09/01,"28,400","28,400","28,400","28,400"
287,11/22/2012,1391/09/02,"28,400","28,400","29,000","29,000"
288,11/23/2012,1391/09/03,"29,000","29,000","29,000","29,000"
289,11/24/2012,1391/09/04,"29,000","29,000","29,000","29,000"
290,11/25/2012,1391/09/05,"29,000","29,000","29,000","29,000"
291,11/26/2012,1391/09/06,"28,900","28,900","28,900","28,900"
292,11/27/2012,1391/09/07,"28,000","28,000","28,000","28,000"
293,11/28/2012,1391/09/08,"29,000","29,000","29,000","29,000"
294,11/29/2012,1391/09/09,"28,700","28,700","28,700","28,700"
295,12/1/2012,1391/09/11,"29,500","29,500","29,500","29,500"
296,12/2/2012,1391/09/12,"29,300","29,300","29,300","29,300"
297,12/3/2012,1391/09/13,"29,300","29,300","29,300","29,300"
298,12/4/2012,1391/09/14,"29,100","29,100","29,100","29,100"
299,12/5/2012,1391/09/15,"29,300","29,300","29,300","29,300"
300,12/6/2012,1391/09/16,"29,300","29,300","29,300","29,300"
301,12/7/2012,1391/09/17,"29,300","29,300","29,300","29,300"
302,12/8/2012,1391/09/18,"30,500","30,500","30,500","30,500"
303,12/9/2012,1391/09/19,"29,000","29,000","29,000","29,000"
304,12/10/2012,1391/09/20,"29,800","29,800","29,800","29,800"
305,12/11/2012,1391/09/21,"30,100","30,100","30,100","30,100"
306,12/12/2012,1391/09/22,"29,950","29,950","29,950","29,950"
307,12/13/2012,1391/09/23,"30,200","30,200","30,200","30,200"
308,12/15/2012,1391/09/25,"29,700","29,700","29,700","29,700"
309,12/16/2012,1391/09/26,"30,000","30,000","30,000","30,000"
310,12/17/2012,1391/09/27,"30,000","30,000","30,330","30,330"
311,12/18/2012,1391/09/28,"30,900","30,900","31,100","31,100"
312,12/19/2012,1391/09/29,"31,250","30,850","31,350","30,850"
313,12/20/2012,1391/09/30,"31,000","31,000","31,000","31,000"
314,12/22/2012,1391/10/02,"31,500","31,300","31,700","31,700"
315,12/23/2012,1391/10/03,"31,800","31,800","32,400","32,400"
316,12/24/2012,1391/10/04,"33,500","33,320","33,500","33,320"
317,12/25/2012,1391/10/05,"34,200","33,320","34,200","33,320"
318,12/26/2012,1391/10/06,"32,640","32,480","33,280","32,750"
319,12/27/2012,1391/10/07,"32,850","32,600","32,850","32,600"
320,12/29/2012,1391/10/09,"32,800","32,100","32,800","32,100"
321,12/30/2012,1391/10/10,"31,950","31,600","32,300","32,300"
322,12/31/2012,1391/10/11,"32,900","32,400","32,900","32,400"
323,1/1/2013,1391/10/12,"32,400","32,400","32,550","32,400"
324,1/2/2013,1391/10/13,"32,350","32,350","32,500","32,450"
325,1/5/2013,1391/10/16,"32,350","32,350","32,350","32,350"
326,1/6/2013,1391/10/17,"32,400","32,330","32,460","32,460"
327,1/7/2013,1391/10/18,"32,400","32,300","32,400","32,350"
328,1/8/2013,1391/10/19,"32,420","32,400","32,660","32,660"
329,1/9/2013,1391/10/20,"32,550","32,550","33,250","32,850"
330,1/10/2013,1391/10/21,"32,800","32,800","32,800","32,800"
331,1/13/2013,1391/10/24,"32,700","32,700","33,080","32,880"
332,1/14/2013,1391/10/25,"32,900","32,850","32,950","32,900"
333,1/15/2013,1391/10/26,"32,930","32,900","33,100","33,050"
334,1/16/2013,1391/10/27,"33,300","33,010","33,300","33,050"
335,1/17/2013,1391/10/28,"33,080","33,050","33,080","33,050"
336,1/19/2013,1391/10/30,"33,150","33,150","33,400","33,400"
337,1/20/2013,1391/11/01,"33,300","33,300","34,350","34,100"
338,1/21/2013,1391/11/02,"34,400","34,400","35,430","35,150"
339,1/22/2013,1391/11/03,"35,240","35,240","36,500","36,190"
340,1/23/2013,1391/11/04,"36,500","34,960","36,500","35,600"
341,1/24/2013,1391/11/05,"35,400","35,200","35,400","35,250"
342,1/26/2013,1391/11/07,"35,000","35,000","35,500","35,500"
343,1/27/2013,1391/11/08,"35,600","35,600","36,520","36,520"
344,1/28/2013,1391/11/09,"36,300","36,000","36,710","36,500"
345,1/29/2013,1391/11/10,"36,600","36,600","36,600","36,600"
346,1/30/2013,1391/11/11,"36,800","36,800","38,100","37,950"
347,1/31/2013,1391/11/12,"37,800","37,800","38,900","38,900"
348,2/2/2013,1391/11/14,"39,400","37,800","39,700","38,200"
349,2/3/2013,1391/11/15,"38,100","37,800","38,100","38,100"
350,2/4/2013,1391/11/16,"37,700","37,700","38,250","38,250"
351,2/5/2013,1391/11/17,"38,900","38,500","38,900","38,500"
352,2/6/2013,1391/11/18,"37,700","37,150","37,700","37,150"
353,2/7/2013,1391/11/19,"37,900","37,900","38,200","38,200"
354,2/9/2013,1391/11/21,"38,250","38,250","38,500","38,500"
355,2/11/2013,1391/11/23,"38,300","37,700","38,300","37,700"
356,2/12/2013,1391/11/24,"37,500","37,200","37,500","37,200"
357,2/13/2013,1391/11/25,"36,000","35,900","36,500","36,500"
358,2/14/2013,1391/11/26,"36,900","36,900","37,500","37,500"
359,2/16/2013,1391/11/28,"37,450","37,140","37,450","37,300"
360,2/17/2013,1391/11/29,"37,000","36,800","37,000","36,800"
361,2/18/2013,1391/11/30,"36,600","36,600","37,100","37,100"
362,2/19/2013,1391/12/01,"37,400","37,250","37,500","37,250"
363,2/20/2013,1391/12/02,"36,800","36,800","37,100","36,900"
364,2/21/2013,1391/12/03,"36,700","36,700","36,750","36,750"
365,2/23/2013,1391/12/05,"37,000","36,800","37,100","36,800"
366,2/24/2013,1391/12/06,"36,650","36,550","36,750","36,750"
367,2/25/2013,1391/12/07,"36,890","36,890","37,460","37,460"
368,2/26/2013,1391/12/08,"37,450","37,450","37,850","37,650"
369,2/27/2013,1391/12/09,"37,900","37,050","37,900","37,050"
370,2/28/2013,1391/12/10,"37,000","36,750","37,000","36,750"
371,3/2/2013,1391/12/12,"36,500","36,450","36,650","36,450"
372,3/3/2013,1391/12/13,"36,100","34,900","36,100","34,900"
373,3/4/2013,1391/12/14,"33,900","32,850","33,900","33,050"
374,3/5/2013,1391/12/15,"33,300","33,300","34,700","34,400"
375,3/6/2013,1391/12/16,"34,800","34,800","35,900","35,900"
376,3/7/2013,1391/12/17,"36,400","35,700","36,400","35,700"
377,3/9/2013,1391/12/19,"35,450","34,800","35,450","34,800"
378,3/10/2013,1391/12/20,"34,850","34,450","34,850","34,750"
379,3/11/2013,1391/12/21,"35,300","34,900","35,500","35,100"
380,3/12/2013,1391/12/22,"35,050","34,700","35,050","34,750"
381,3/13/2013,1391/12/23,"34,300","34,100","34,450","34,400"
382,3/14/2013,1391/12/24,"34,200","34,000","34,250","34,000"
383,3/16/2013,1391/12/26,"33,950","33,300","33,950","33,320"
384,3/17/2013,1391/12/27,"33,400","33,400","34,200","34,100"
385,3/18/2013,1391/12/28,"34,000","33,950","34,050","34,050"
386,4/6/2013,1392/01/17,"34,500","34,500","35,400","35,100"
387,4/7/2013,1392/01/18,"36,000","35,950","36,400","36,350"
388,4/8/2013,1392/01/19,"36,150","35,400","36,150","35,400"
389,4/9/2013,1392/01/20,"35,400","35,400","35,650","35,400"
390,4/10/2013,1392/01/21,"35,500","35,150","35,500","35,150"
391,4/11/2013,1392/01/22,"35,300","35,050","35,300","35,050"
392,4/13/2013,1392/01/24,"35,200","35,050","35,300","35,150"
393,4/15/2013,1392/01/26,"35,100","35,050","35,200","35,050"
394,4/16/2013,1392/01/27,"35,200","35,000","35,200","35,050"
395,4/17/2013,1392/01/28,"35,100","35,100","35,250","35,250"
396,4/18/2013,1392/01/29,"35,350","35,300","35,350","35,300"
397,4/20/2013,1392/01/31,"35,450","35,100","35,500","35,200"
398,4/21/2013,1392/02/01,"35,150","35,150","35,350","35,350"
399,4/22/2013,1392/02/02,"35,450","35,400","35,500","35,500"
400,4/23/2013,1392/02/03,"35,600","35,450","35,600","35,600"
401,4/24/2013,1392/02/04,"35,650","35,650","36,400","36,400"
402,4/25/2013,1392/02/05,"36,350","36,150","36,350","36,150"
403,4/27/2013,1392/02/07,"36,200","35,850","36,200","35,850"
404,4/28/2013,1392/02/08,"35,700","35,600","35,850","35,850"
405,4/29/2013,1392/02/09,"35,800","35,800","36,100","35,900"
406,4/30/2013,1392/02/10,"35,950","35,800","35,950","35,800"
407,5/1/2013,1392/02/11,"35,750","35,700","35,750","35,700"
408,5/2/2013,1392/02/12,"35,400","35,400","35,550","35,550"
409,5/4/2013,1392/02/14,"35,700","35,500","35,700","35,600"
