X,Y
0.75295,-4.8187
0.70213,-3.9279
0.60512,-3.7408
0.038267,0.46573
0.19515,-0.58113
0.33068,-3.4647
0.64283,19.53
0.2174,-2.5698
0.07691,-0.37774
0.98059,-8.3187
0.20676,-1.3918
0.98325,7.4402
0.61037,7.3704
0.24798,-0.11615
0.51796,-3.2055
0.71283,-4.9292
0.25987,10.759
0.11469,1.929
0.54967,12.23
0.2189,-0.28295
0.31218,-1.3879
0.97313,13.792
0.30919,19.795
0.94625,-8.3539
0.41056,-3.5356
0.010334,-0.48782
0.31007,1.4281
0.15521,2.0008
0.99408,-5.6675
0.45024,-3.2799
0.54522,-4.5435
0.26233,6.9941
0.88254,-5.5173
0.10306,14.883
0.82356,-4.7275
0.42718,-2.7511
0.92034,-4.9536
0.52801,-3.0249
0.87083,4.1503
0.35281,-3.2382
0.40015,-2.4253
0.59792,-2.7667
0.91152,-6.0242
0.13299,-0.41819
0.042167,0.3752
0.40104,0.85997
0.59571,18.75
0.91968,-5.8697
0.29378,-2.2397
0.54504,-4.8907
0.78168,-4.6319
0.3274,-1.6915
0.095263,-0.94933
0.44168,-2.766
0.029077,-0.28151
0.67539,-4.463
0.11159,-1.5411
0.19964,-1.9492
0.53016,-2.7578
0.62736,-3.1659
0.3736,-2.3274
0.60645,-3.408
0.84639,18.935
0.70195,-6.4907
0.39287,14.303
0.57187,-2.8969
0.24977,-0.39516
0.72735,-6.3025
0.34333,-1.8182
0.078635,-0.32592
0.30223,-1.8158
0.3004,13.468
0.023221,1.8016
0.17611,1.4542
0.86092,-5.1023
0.65595,-2.8743
0.85654,-7.2534
0.27094,-1.2303
0.89595,10.25
0.20879,-1.5731
0.96417,-6.2311
0.41436,-3.2593
0.22957,16.677
0.81837,-4.005
0.36044,-3.4779
0.50152,0.90987
0.74767,-5.2065
0.83185,1.3511
0.39447,22.655
0.096636,-0.033274
0.26539,-1.7172
0.79195,-1.1751
0.93686,14.251
0.56826,-1.9608
0.93802,-6.5005
0.59725,-3.4494
0.98795,-5.8162
0.76235,-3.3699
0.18562,0.41264
0.51677,-5.0468
0.64015,-2.8492
0.86895,-6.0027
0.60012,-5.0094
0.99967,-6.7649
0.12918,-1.2731
0.29337,6.2341
0.47688,-3.1536
0.12958,-2.1504
0.22812,-1.7536
0.18107,-3.0228
0.67202,-2.5577
0.32578,-2.6507
0.79059,-4.175
0.54601,-2.6964
0.23056,-2.0748
0.68676,-5.7581
0.049083,-1.8339
0.5726,-2.7205
0.99376,-6.2418
0.36297,-1.1732
0.55872,-3.9099
0.92728,-8.6398
0.25988,-2.6861
0.83248,-4.3328
0.17513,-0.87105
0.87984,-3.5496
0.27963,22.801
0.84948,-7.0263
0.80672,-2.4871
0.18913,-0.092157
0.97856,-7.4884
0.25373,-1.3421
0.77855,-4.8408
0.81078,-5.7526
0.49795,-4.8813
0.91572,0.0865
0.10098,-0.34755
0.13582,-1.3927
0.85832,-6.1448
0.018646,2.9812
0.72833,-1.8811
0.81666,-4.7854
0.11622,0.053354
0.48856,-3.5511
0.34745,11.487
0.77389,-5.8947
0.28529,14.919
0.8244,-5.0305
0.17306,20.747
0.86364,-4.4596
0.92605,-3.6238
0.1911,-0.21437
0.050352,-0.645
0.54845,19.356
0.0095179,0.88249
0.82836,-3.7033
0.90854,-4.1237
0.7053,15.879
0.24333,20.573
0.58923,-5.1864
0.9389,-6.9802
0.8955,-6.5257
0.60623,-2.6871
0.79238,-4.9074
0.83617,-3.2501
0.56014,8.4719
0.0006951,1.8626
0.25128,-1.7721
0.43195,-1.3771
0.43065,-1.5992
0.87523,-5.2053
0.067641,-0.91696
0.33991,-2.4694
0.17706,-1.4538
0.24604,1.4336
0.72782,-3.4699
0.2882,-0.13046
0.23734,4.5815
0.13966,-1.9383
0.22073,-0.35378
0.81755,14.547
0.37823,-3.0393
0.66552,5.8812
0.93581,-5.9094
0.42648,-2.6254
0.60516,17.09
0.96958,-6.1087
0.36465,1.0081
0.66445,-2.8608
0.31476,-0.49199
0.88572,13.411
0.29554,-1.7509
0.29537,-0.39744
0.90708,-5.9569
0.49288,-3.3378
0.20714,-1.2193
0.025819,0.83705
0.17021,2.5968
0.30234,-1.3134
0.96144,-6.0231
0.78366,-4.6047
0.67326,-6.1257
0.84072,-3.7826
0.42085,-1.5861
0.70374,-5.3956
0.48129,15.521
0.82058,10.236
0.43739,-2.6355
0.85997,-4.364
0.0088972,24.567
0.99603,-5.7224
0.2752,1.3656
